#Frame            All     All[Max]
     246      21.1751      38.8764
     247      21.2034      39.1717
     248      21.2055      38.8034
     249      21.1862      39.0401
     250      21.3373      39.3987
     251      21.2638      39.3521
     252      21.2128      38.9968
     253      21.3505      39.3121
     254      21.3998      39.8397
     255      21.5192      40.1050
     256      21.4079      39.2136
     257      21.3417      38.9631
     258      21.3447      39.3072
     259      21.2735      38.8957
     260      21.1555      38.7209
     261      21.1423      38.2247
     262      21.0037      37.8020
     263      21.1124      38.4379
     264      20.9911      38.6136
     265      21.0553      38.0294
     266      21.1054      38.5307
     267      21.1715      38.1920
     268      21.2404      38.2248
     269      21.3541      38.9582
     270      21.2207      38.8832
     271      21.2471      38.7518
     272      21.1557      37.6145
     273      21.1851      37.8731
     274      21.4069      39.6879
     275      21.3877      38.6246
     276      21.3852      38.8305
     277      21.2425      38.7921
     278      21.1718      38.4450
     279      21.3632      38.9862
     280      21.3869      38.8536
     281      21.3386      38.9751
     282      21.3129      38.9009
     283      21.2776      38.9442
     284      21.2667      38.8462
     285      21.4693      39.7592
     286      21.4967      39.6335
     287      21.6001      39.7597
     288      21.6430      40.1163
     289      21.5977      39.8019
     290      21.4987      40.0305
     291      21.5724      39.8010
     292      21.4514      39.8171
     293      21.3399      39.0605
     294      21.4486      39.4391
     295      21.4388      39.5768
     296      21.4430      39.5728
     297      21.4894      39.5114
     298      21.5546      39.6344
     299      21.4024      39.1419
     300      21.3210      38.5943
     301      21.3808      39.8208
     302      21.3744      39.6786
     303      21.3963      40.2318
     304      21.2274      40.5950
     305      21.4675      40.1925
     306      21.4496      40.5059
     307      21.5725      39.7614
     308      21.6796      39.8433
     309      21.5586      39.6468
     310      21.6156      40.5202
     311      21.6261      40.4687
     312      21.5730      40.4490
     313      21.5992      40.6440
     314      21.7318      40.0322
     315      21.7327      40.7176
     316      21.7630      41.4382
     317      21.8329      41.1695
     318      21.7606      39.9004
     319      21.6871      40.2365
     320      21.7951      40.5829
     321      21.6158      40.2445
     322      21.6416      40.5578
     323      21.6617      40.8397
     324      21.7387      41.0772
     325      21.6995      40.7761
     326      21.5997      40.8391
     327      21.7384      40.2447
     328      21.6999      40.6505
     329      21.5842      40.7120
     330      21.5968      40.6542
     331      21.7195      40.7611
     332      21.6770      40.4765
     333      21.6344      40.6694
     334      21.6169      40.2200
     335      21.7244      40.4401
     336      21.6667      41.0659
     337      21.6676      40.3995
     338      21.6726      41.4240
     339      21.5947      40.6394
     340      21.7115      41.2338
     341      21.5809      39.9499
     342      21.4826      39.7904
     343      21.5311      40.2300
     344      21.4459      41.0594
     345      21.4872      41.4560
     346      21.3127      40.0940
     347      21.4534      40.9766
     348      21.3604      40.2153
     349      21.3361      39.5357
     350      21.4110      39.3821
     351      21.4735      40.2304
     352      21.4854      39.7904
     353      21.6756      40.3645
     354      21.5774      40.9047
     355      21.5042      40.1451
     356      21.6000      41.0438
     357      21.4337      40.7453
     358      21.2935      40.4971
     359      21.4226      40.6890
     360      21.3309      39.6791
     361      21.4839      39.7690
     362      21.4365      39.5090
     363      21.4555      39.4211
     364      21.4848      40.8689
     365      21.5010      40.2914
     366      21.4120      40.1970
     367      21.4157      39.5823
     368      21.4233      39.9419
     369      21.5317      39.6149
     370      21.4079      40.7527
     371      21.4467      39.9007
     372      21.4542      39.7213
     373      21.4917      40.3596
     374      21.4242      40.0439
     375      21.4788      40.4438
     376      21.4690      40.3960
     377      21.4592      39.5161
     378      21.4590      39.4752
     379      21.6307      40.3096
     380      21.6454      40.6648
     381      21.6156      40.0066
     382      21.5773      39.8684
     383      21.7424      40.4788
     384      21.7588      41.1022
     385      21.6154      40.5960
     386      21.6176      41.2541
     387      21.7116      41.3070
     388      21.7512      41.1799
     389      21.8625      41.5526
     390      21.7089      41.5688
     391      21.8306      41.1828
     392      21.7489      40.7072
     393      21.5916      40.3882
