#Frame            All     All[Max]
     246      25.5634      37.2803
     247      25.5722      37.7927
     248      25.7209      38.4112
     249      25.5640      38.3954
     250      25.4383      37.7192
     251      25.2971      37.5909
     252      25.3163      37.4542
     253      25.3202      37.3932
     254      25.2501      36.6385
     255      25.2995      37.0200
     256      25.2854      36.8084
     257      25.2207      36.3297
     258      25.1157      36.3457
     259      25.1499      36.5173
     260      25.3830      37.0617
     261      25.4703      37.3536
     262      25.4722      36.9461
     263      25.5147      37.1135
     264      25.4665      36.9198
     265      25.6995      37.3654
     266      25.6733      37.4859
     267      25.7242      37.3294
     268      25.6634      37.4642
     269      25.5441      36.9345
     270      25.4929      36.8086
     271      25.4904      36.5040
     272      25.4959      36.6792
     273      25.5504      36.6308
     274      25.5081      37.6056
     275      25.6237      37.6248
     276      25.6097      37.5444
     277      25.7358      37.6871
     278      25.8858      38.1615
     279      26.0037      38.5210
     280      26.1771      38.6384
     281      26.1100      39.0257
     282      26.0020      38.9984
     283      26.0488      38.6239
     284      25.9584      37.9268
     285      25.7439      37.6512
     286      25.8669      38.1261
     287      25.9373      38.4739
     288      25.7806      38.1554
     289      25.9698      37.9436
     290      25.8145      37.8391
     291      25.6972      37.9021
     292      25.6096      37.9194
     293      25.6488      37.9015
     294      25.7521      37.9849
     295      25.6008      38.1109
     296      25.5024      37.8669
     297      25.5825      38.4397
     298      25.7931      38.8641
     299      25.7067      39.4786
     300      25.5692      39.1494
     301      25.6203      39.5903
     302      25.5524      39.3466
     303      25.6108      39.0258
     304      25.4419      38.3741
     305      25.4036      37.9617
     306      25.5850      38.5465
     307      25.3512      38.2804
     308      25.6026      38.9423
     309      25.6979      39.5131
     310      25.4890      38.5841
     311      25.4825      38.6787
     312      25.5150      38.3397
     313      25.5428      38.8936
     314      25.4904      39.1006
     315      25.5217      38.2137
     316      25.5579      38.4817
     317      25.5302      38.4322
     318      25.7488      38.8903
     319      25.6222      39.1467
     320      25.5189      38.7550
     321      25.7075      39.6675
     322      25.3891      39.0249
     323      25.5026      39.6536
     324      25.6544      39.6044
     325      25.6260      39.7108
     326      25.2269      38.2922
     327      25.1351      38.6394
     328      25.2517      38.5839
     329      25.1150      38.2076
     330      24.8271      37.5455
     331      24.9100      37.9048
     332      24.9611      38.2034
     333      24.9322      37.9984
     334      24.8520      38.0439
     335      25.0681      38.1941
     336      25.0862      37.9681
     337      25.1643      38.9041
     338      25.3681      38.9340
     339      25.3967      38.7597
     340      25.1638      38.3561
     341      25.1704      38.4462
     342      25.1323      37.9397
     343      25.1725      38.0179
     344      25.1709      37.6311
     345      25.1485      37.2518
     346      25.0880      37.7037
     347      25.1305      37.7550
     348      25.0854      37.6220
     349      24.8530      37.3813
     350      24.8749      37.7426
     351      24.8513      36.8120
     352      24.5808      36.1264
     353      24.6372      36.5369
     354      24.5690      36.0342
     355      24.6987      36.7416
     356      24.7836      36.9948
     357      24.7693      35.8228
     358      24.8480      36.6015
     359      25.0059      37.0686
     360      24.9565      36.1261
     361      25.0229      36.2852
     362      24.8893      36.4239
     363      24.9251      36.8559
     364      24.9621      36.5179
     365      24.8255      36.3749
     366      24.8205      35.8626
     367      24.9932      36.3307
     368      25.0918      36.7578
     369      25.1669      36.5429
     370      25.0106      37.0614
     371      25.0478      36.4178
     372      25.1819      36.9785
     373      24.8453      36.2815
     374      25.1368      37.4116
     375      25.0272      37.0362
     376      25.0785      36.7462
     377      25.0527      37.5622
     378      25.0910      38.2122
     379      25.1941      38.0200
     380      25.0579      37.7804
     381      24.8700      37.4414
     382      24.9501      36.4804
     383      24.9154      36.1519
     384      24.8690      36.6994
     385      24.7481      36.5636
     386      24.7727      36.9851
     387      24.9851      37.0344
     388      24.9769      36.7050
     389      24.9849      36.7581
     390      24.9734      36.4209
     391      25.0829      36.2810
     392      25.0165      36.1968
     393      24.7816      36.1092
     394      24.8582      35.8486
     395      24.7084      35.4367
     396      24.6348      35.6273
     397      24.5803      35.7914
     398      24.6892      36.6084
     399      24.4870      35.7964
     400      24.4238      35.8039
     401      24.5063      36.1024
     402      24.3673      35.7690
     403      24.4088      35.0470
     404      24.5460      35.1939
     405      24.4479      35.5860
     406      24.4829      35.7704
